STATE,YEAR,MONTH_NAME,EVENT_TYPE
"ALABAMA",1994,"March","Tornado"
"ALABAMA",1994,"May","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"May","Hail"
"ALABAMA",1994,"March","Hail"
"ALABAMA",1994,"March","Hail"
"ALABAMA",1994,"March","Hail"
"ALABAMA",1994,"March","Tornado"
"ALABAMA",1994,"November","Thunderstorm Wind"
"ALABAMA",1994,"November","Thunderstorm Wind"
"ALABAMA",1994,"March","Hail"
"ALABAMA",1994,"June","Hail"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"June","Hail"
"ALABAMA",1994,"June","Hail"
"ALABAMA",1994,"March","Thunderstorm Wind"
"ALABAMA",1994,"April","Hail"
"ALABAMA",1994,"April","Hail"
"ALABAMA",1994,"April","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"November","Hail"
"ALABAMA",1994,"April","Hail"
"ALABAMA",1994,"April","Thunderstorm Wind"
"ARKANSAS",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"June","Hail"
"ALABAMA",1994,"March","Thunderstorm Wind"
"ALABAMA",1994,"April","Hail"
"ALABAMA",1994,"May","Hail"
"ALABAMA",1994,"March","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"February","Tornado"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"November","Hail"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"June","Hail"
"ALABAMA",1994,"November","Hail"
"ALABAMA",1994,"March","Hail"
"ALABAMA",1994,"April","Hail"
"ALABAMA",1994,"November","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"March","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"September","Thunderstorm Wind"
"ALABAMA",1994,"November","Thunderstorm Wind"
"ALABAMA",1994,"July","Thunderstorm Wind"
"ALABAMA",1994,"August","Tornado"
"ALABAMA",1994,"October","Thunderstorm Wind"
"ALABAMA",1994,"April","Hail"
"ALABAMA",1994,"May","Hail"
"ALABAMA",1994,"November","Tornado"
"ALABAMA",1994,"March","Tornado"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"June","Tornado"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"May","Hail"
"ALABAMA",1994,"May","Thunderstorm Wind"
"ALABAMA",1994,"November","Thunderstorm Wind"
"ALABAMA",1994,"November","Thunderstorm Wind"
"ALABAMA",1994,"February","Thunderstorm Wind"
"ALABAMA",1994,"March","Tornado"
"ALABAMA",1994,"March","Thunderstorm Wind"
"ALABAMA",1994,"May","Thunderstorm Wind"
"ALABAMA",1994,"May","Hail"
"ALABAMA",1994,"August","Hail"
"ALABAMA",1994,"November","Thunderstorm Wind"
"ALABAMA",1994,"May","Thunderstorm Wind"
"ALABAMA",1994,"May","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"August","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"March","Thunderstorm Wind"
"ALABAMA",1994,"March","Hail"
"ALABAMA",1994,"March","Hail"
"ALABAMA",1994,"April","Tornado"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"May","Thunderstorm Wind"
"LOUISIANA",1994,"April","Hail"
"LOUISIANA",1994,"April","Hail"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"November","Hail"
"ALABAMA",1994,"April","Thunderstorm Wind"
"ALABAMA",1994,"May","Thunderstorm Wind"
"ALABAMA",1994,"June","Hail"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"November","Thunderstorm Wind"
"ALABAMA",1994,"December","Tornado"
"ALABAMA",1994,"May","Thunderstorm Wind"
"ALABAMA",1994,"June","Tornado"
"ALABAMA",1994,"June","Hail"
"ALABAMA",1994,"June","Hail"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"August","Thunderstorm Wind"
"ALABAMA",1994,"April","Thunderstorm Wind"
"MISSOURI",1994,"April","Tornado"
"MISSOURI",1994,"April","Hail"
"MISSOURI",1994,"April","Hail"
"MINNESOTA",1994,"August","Hail"
"MINNESOTA",1994,"August","Thunderstorm Wind"
"MINNESOTA",1994,"May","Thunderstorm Wind"
"MINNESOTA",1994,"June","Tornado"
"MINNESOTA",1994,"August","Thunderstorm Wind"
"MINNESOTA",1994,"May","Thunderstorm Wind"
"MINNESOTA",1994,"June","Thunderstorm Wind"
"MINNESOTA",1994,"June","Thunderstorm Wind"
"MINNESOTA",1994,"June","Thunderstorm Wind"
"MINNESOTA",1994,"June","Tornado"
"MICHIGAN",1994,"July","Tornado"
"MICHIGAN",1994,"July","Thunderstorm Wind"
"MICHIGAN",1994,"July","Thunderstorm Wind"
"MICHIGAN",1994,"July","Thunderstorm Wind"
"MISSOURI",1994,"April","Tornado"
"MISSOURI",1994,"May","Hail"
"MISSOURI",1994,"May","Thunderstorm Wind"
"MISSOURI",1994,"June","Hail"
"MISSOURI",1994,"June","Thunderstorm Wind"
"ALABAMA",1994,"June","Hail"
"MICHIGAN",1994,"May","Hail"
"MICHIGAN",1994,"May","Hail"
"MICHIGAN",1994,"April","Hail"
"MINNESOTA",1994,"June","Thunderstorm Wind"
"MINNESOTA",1994,"June","Tornado"
"MISSOURI",1994,"June","Thunderstorm Wind"
"MISSOURI",1994,"July","Thunderstorm Wind"
"MISSOURI",1994,"July","Thunderstorm Wind"
"MINNESOTA",1994,"June","Thunderstorm Wind"
"MINNESOTA",1994,"July","Hail"
"MINNESOTA",1994,"June","Hail"
"MINNESOTA",1994,"May","Hail"
"MINNESOTA",1994,"July","Hail"
"MINNESOTA",1994,"July","Hail"
"MISSOURI",1994,"June","Hail"
"MISSOURI",1994,"June","Hail"
"NEBRASKA",1994,"April","Thunderstorm Wind"
"NEBRASKA",1994,"April","Thunderstorm Wind"
"NEBRASKA",1994,"August","Thunderstorm Wind"
"NEBRASKA",1994,"June","Thunderstorm Wind"
"NEBRASKA",1994,"June","Hail"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"NEBRASKA",1994,"August","Thunderstorm Wind"
"NEBRASKA",1994,"May","Hail"
"NEBRASKA",1994,"May","Thunderstorm Wind"
"NEBRASKA",1994,"May","Hail"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"MISSOURI",1994,"June","Hail"
"MONTANA",1994,"May","Hail"
"MONTANA",1994,"June","Thunderstorm Wind"
"MONTANA",1994,"July","Thunderstorm Wind"
"MONTANA",1994,"August","Thunderstorm Wind"
"MONTANA",1994,"September","Thunderstorm Wind"
"MONTANA",1994,"May","Thunderstorm Wind"
"MONTANA",1994,"July","Thunderstorm Wind"
"MONTANA",1994,"July","Hail"
"MONTANA",1994,"June","Tornado"
"MONTANA",1994,"July","Thunderstorm Wind"
"MONTANA",1994,"July","Thunderstorm Wind"
"MONTANA",1994,"June","Hail"
"MONTANA",1994,"June","Hail"
"MONTANA",1994,"June","Hail"
"MISSOURI",1994,"April","Thunderstorm Wind"
"MISSOURI",1994,"April","Hail"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"June","Hail"
"MISSOURI",1994,"April","Tornado"
"MISSOURI",1994,"April","Tornado"
"MISSOURI",1994,"April","Hail"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"June","Thunderstorm Wind"
"NEBRASKA",1994,"June","Hail"
"NEBRASKA",1994,"June","Hail"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"MISSOURI",1994,"September","Tornado"
"MISSOURI",1994,"September","Tornado"
"MISSOURI",1994,"April","Hail"
"MISSOURI",1994,"April","Thunderstorm Wind"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"MONTANA",1994,"June","Hail"
"MONTANA",1994,"June","Thunderstorm Wind"
"MONTANA",1994,"June","Thunderstorm Wind"
"NEBRASKA",1994,"September","Hail"
"NEBRASKA",1994,"September","Hail"
"MONTANA",1994,"June","Thunderstorm Wind"
"MONTANA",1994,"August","Hail"
"NEBRASKA",1994,"July","Hail"
"MONTANA",1994,"May","Thunderstorm Wind"
"MONTANA",1994,"June","Thunderstorm Wind"
"MONTANA",1994,"June","Thunderstorm Wind"
"MONTANA",1994,"June","Thunderstorm Wind"
"NEBRASKA",1994,"June","Thunderstorm Wind"
"MONTANA",1994,"July","Hail"
"MONTANA",1994,"July","Thunderstorm Wind"
"NEBRASKA",1994,"July","Hail"
"MONTANA",1994,"May","Hail"
"MONTANA",1994,"May","Hail"
"MONTANA",1994,"May","Hail"
"MONTANA",1994,"May","Thunderstorm Wind"
"MONTANA",1994,"May","Hail"
"MONTANA",1994,"May","Hail"
"MONTANA",1994,"June","Thunderstorm Wind"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"July","Hail"
"NEBRASKA",1994,"September","Hail"
"MONTANA",1994,"June","Tornado"
"MONTANA",1994,"July","Hail"
"NEBRASKA",1994,"May","Hail"
"NEBRASKA",1994,"April","Hail"
"NEBRASKA",1994,"May","Tornado"
"MONTANA",1994,"June","Hail"
"NEBRASKA",1994,"May","Hail"
"NEBRASKA",1994,"June","Hail"
"MONTANA",1994,"July","Thunderstorm Wind"
"NEBRASKA",1994,"July","Thunderstorm Wind"
"NEBRASKA",1994,"July","Tornado"
"NEBRASKA",1994,"June","Thunderstorm Wind"
